,Bairro,Distrito
1736,Jardim Lorenzo,Cangaíba
1737,Jardim Bichinhos,Cidade Dutra
1738,Jardim Morganti,José Bonifácio
1739,Fazenda Na. Sa. do Carmo,Parque do Carmo
1740,Água Rasa,Água Rasa
1741,Sumarezinho,Pinheiros
1742,Ferreira,Vila Sônia
1743,Vila Neila,Itaim Paulista
1744,Vila Bela Aliança,Lapa
1745,Jardim Coimbra,Artur Alvim
1746,Recanto Alegre,Iguatemi
1747,Jardim Esther Yolanda,Rio Pequeno
1748,Vila Marcelo,Parelheiros
1749,Jardim Sul São Paulo,Jabaquara
1750,Vila Baby,Campo Grande
1751,P. Monteiro Soares,Freguesia do Ó
1752,Cidade Vargas,Jabaquara
1753,Vila Santana,Itaquera
1757,Cidade Industrial,Jaguaré
1758,Jardim Santa Fé,Grajaú
1760,Parada XV de Novembro,Itaquera
1761,Jardim Campinas,Grajaú
1762,Jardim Taboão,Vila Sônia
1763,Vila Aricanduva,Vila Matilde
1764,Jardim Patente Novo,Sacomã
1765,Jardim Monte Belo,Raposo Tavares
1766,Jardim Flávio,Cangaíba
1767,Parque Anhanguera,São Domingos
1770,Conjunto Habitacional Gleba do Pêssego,Parque do Carmo
1771,Jaceguava,Parelheiros
1772,Cidade Presidente Vargas,Jabaquara
1773,Pirituba,Pirituba
1774,Jardim São Lourenço,Jardim Ângela
1775,Jardim Guanhembu,Cidade Dutra
1776,Jardim Oriente,Vila Sônia
1777,Vila Danúbio Azul,São Mateus
1779,Vila Liberlândia,Freguesia do Ó
1780,Vila Picinin,Freguesia do Ó
1781,Capelinha,Capão Redondo
1782,Jardim São Martinho,Jabaquara
1784,Jardim Alzira,Sapopemba
1785,Santa Ifigênia,República
1786,Jardim do Campo,Lajeado
1787,Jardim Piracuama,Campo Limpo
1788,Interlagos,Socorro
1789,Vila Nova Jaraguá,Jaraguá
1790,Vila Frugoli,Ponte Rasa
1791,Vila São Francisco,Rio Pequeno
1793,Vila Miami,São Lucas
1794,Vila Itaberaba,Brasilândia
1795,Jardim Peri Novo,Cachoeirinha
1796,Vila Campo Belo,Vila Sônia
1797,Jardim Taipas,Jaraguá
1798,Jardim Palmares,Tremembé
1800,Jardim São Vicente,São Mateus
1801,Vila Capela,Cidade Ademar
1802,Vila Continental,Cachoeirinha
1803,Cidade Fim de Semana,Jardim São Luís
1804,Jardim São Bento Novo,Capão Redondo
1805,Jardim Sapopemba,Jardim Ângela
1806,Vila Socorro,Socorro
1807,Jardim Iracema,Campo Limpo
1808,Vila Fidalgo,Tremembé
1809,Cidade Nitro Operária,São Mateus
1811,Jardim Jabaquara,Jabaquara
1812,Jardim Monte Azul,Jardim São Luís
1813,Jardim São Luís,Itaim Paulista
1816,Vila Quintana,Cidade Dutra
1817,Vila Narciso,Grajaú
1818,Vila Nova Jaguara,Jaguara
1819,Vila Gomes Cardim,Tatuapé
1820,Jardim Uberaba,Cidade Ademar
1821,Jardim Jaqueline,Vila Sônia
1822,Jardim Nova Tereza,Grajaú
1823,Vila Pirituba,Pirituba
1824,Chácara Santo Hubertus,Parelheiros
1825,Cambuci,Cambuci
1826,Vila Reis,Vila Jacuí
1827,Jardim Niteroi,Cidade Ademar
1828,Cupecê,Cidade Ademar
1829,Vila Parque Jabaquara,Jabaquara
1830,Vila Santa Luzia,Santana
1831,Alto de Pinheiros,Alto de Pinheiros
1832,São Mateus,São Mateus
1833,Vila Jaraguá,Anhanguera
1834,Vila Dona Sara,Aricanduva
1835,Alto do Ipiranga,Ipiranga
1836,Vila Miriam,Freguesia do Ó
1837,Jardim Lisboa,Ponte Rasa
1838,Jardim Sidnei,Pirituba
1839,Jardim Teresa,São Lucas
1840,Água Funda,Cursino
1841,Jardim Trussardi,Vila Sônia
1842,Jardim Itapemirim,Itaquera
1843,Jardim Norma,Itaquera
1844,Vila Hungaresa,Perus
1845,Jardim Madalena,Capão Redondo
1846,Jardim Modelo,Capão Redondo
1848,Jardim Nossa Senhora Aparecida,Grajaú
1849,Grajaú,Grajaú
1850,Vila Fukuya,Lajeado
1851,Vila Portugal,Pirituba
1852,Palanque,Iguatemi
1853,Bororé,Grajaú
1854,Parque Residencial Oratório,São Lucas
1855,Vila Dalila,Vila Matilde
1856,Jardim Santa Francisca,Grajaú
1857,Vila Bela do Sapopemba,Jardim Ângela
1858,Vila Pedrosa,Tucuruvi
1859,Jardim Londrina,Vila Sônia
1860,Jardim Assunção,Vila Matilde
1861,Panambi,Vila Andrade
1862,Jardim Educandário,Raposo Tavares
1863,Vila Iório,Freguesia do Ó
1864,Chácara,Belém
1865,Jardim Limoeiro,Iguatemi
1866,Vila Maria Augusta,Raposo Tavares
1867,Vila Rosária,São Mateus
1869,Vila das Belezas,Capão Redondo
1870,Jardim Tietê,São Mateus
1871,Vila Carlina,Lapa
1872,Jardim São José;,São Mateus
1873,Chácara Monte Alegre,Santo Amaro
1874,Parque São Lucas,São Lucas
1875,Jardim Cimobil,Jaguara
1876,Residencial Sol Nascente 2,Anhanguera
1877,Jardim Elisa,Campo Limpo
1878,Jardim Recanto das Rosas,Vila Formosa
1879,Vila Minerva,Lajeado
1880,Parque Alves de Lima,Jardim São Luís
1881,Parque Brasil,Grajaú
1882,Bom Retiro,Bom Retiro
1883,Parque Maria Helena,Capão Redondo
1884,Vila Graziela,Jaguaré
1885,Jardim Thomaz,Jardim São Luís
1886,Parque da Vila Prudente,Vila Prudente
1887,Jardim Bonfiglioli,Butantã
1888,Parque Jardim Mirassol,Campo Limpo
1889,Alto da Pari,Pari
1890,Jardim Ipê,Capão Redondo
1891,Cidade Patriarca,Vila Matilde
1892,Parque Bairro do Morumbi,Vila Andrade
1893,Jardim Haia do Carrão,Aricanduva
1894,N. Senhora do Ó,Freguesia do Ó
1895,Guaianases,Guaianases
1896,Vila Americana,São Mateus
1898,Vila Gea,Campo Grande
1899,Jardim Guanabara,Cidade Dutra
1900,Itaim Paulista,Itaim Paulista
1901,Sítio do Piqueri,Tremembé
1902,Itupu,Jardim São Luís
1903,Guarapiranga,Jardim São Luís
1904,Jardim Ibitirama,Vila Prudente
1905,Jardim Cotinha,Ponte Rasa
1906,Vila Fernando,Cangaíba
1907,Chácara Domilice,Freguesia do Ó
1908,Vila Universitária,Rio Pequeno
1909,Chácara Mafalda,Água Rasa
1910,Jardim Zilda,Grajaú
1911,Jardim Janiópolis,Capão Redondo
1913,Jardim São Roque,Campo Limpo
1914,Parque Residencial dos Lagos,Grajaú
1915,Jardim Edi,Grajaú
1916,Jardim Santa Edwiges,Jardim São Luís
1917,Jardim Figueira,Vila Prudente
1918,Quinta da Paineira,Vila Prudente
1919,Jardim Santo Eduardo,Aricanduva
1920,Ponte Rasa,Ponte Rasa
1921,Jardim Dracena,Raposo Tavares
1922,Jardim Adélia,Freguesia do Ó
1923,Vila Pierina,Cangaíba
1924,Jardim Santo Amaro,Santo Amaro
1925,Vila dos Ferroviários,Barra Funda
1926,Vila Canaã,Jabaquara
1927,Jardim das Camélias,Cidade Dutra
1929,Vila Luísa,Tatuapé
1931,Lapa,Lapa
1932,Jardim Germânia,Jardim São Luís
1933,Vila Simone,Vila Curuçá
1934,Jardim Nordeste,Artur Alvim
1935,Vila Marisa Mazzei,Santana
1936,Quarta Parada,Belém
1937,Jardim de Lorenzo,Cangaíba
1938,Zavuvus,Pedreira
1939,Várzea do Glicério Vila Deodoro,Cambuci
1940,Jardim Lúcio de Castro,Raposo Tavares
1941,Vila São Pedro,Campo Grande
1942,Olaria,Vila Prudente
1943,Parque São Jorge,Tatuapé
1944,Jardim Rosinha,Anhanguera
1945,Jardim Maria Rita,Cidade Dutra
1946,Jardim Novo Carrão,Vila Formosa
1947,Jardim Rosa Maria,Raposo Tavares
1948,Vila Monte Alegre,Saúde
1949,Liberdade,Liberdade
1950,Vila Basileia,Mandaqui
1951,Jardim das Palmas,Vila Sônia
1952,Vila Chabilândia,Lajeado
1953,Jardim São Joaquim,Jardim São Luís
1954,Jardim Cristália,Jardim São Luís
1955,Jardim Rebouças,Vila Sônia
1956,Jardim Marcelo,Campo Limpo
1957,Vila Butantã,Rio Pequeno
1958,Jardim Santa Francisca Cabrini,Grajaú
1959,Jardim Jurema,Aricanduva
1960,Vila Bauab,Ponte Rasa
1961,Vila Hamburguesa,Água Rasa
1963,Jardim Atlântico,Capão Redondo
1964,Jardim do Colégio,Capão Redondo
1966,Jardim dos Manacás,Grajaú
1967,Vila Antonina,Vila Formosa
1968,Chácara Cocaia,Grajaú
1969,Jardim Campo Belo,Parelheiros
1970,Vila Rosa,Tremembé
1971,Vila Savoy,Cidade Líder
1972,Parque Artur Alvim,Artur Alvim
1973,Parque Flamengo,Campo Limpo
1974,Jardim Soraia,Ponte Rasa
1975,Vila Verde,Itaquera
1976,Vila Iolanda,Lajeado
1977,Vila São Maurício,Vila Prudente
1978,Jardim Orion,Cidade Dutra
1979,Campo Belo,Campo Belo
1980,Vila Indiana,Butantã
1981,Jardim Santa Helena,Socorro
1982,Jardim Hípico,Santo Amaro
1983,Jardim Eliane,Cidade Líder
1984,Jardim Rúbio,Raposo Tavares
1985,Jardim Vila Formosa,Aricanduva
1986,Vila Nova Manchester,Carrão
1987,Jardim do Tiro,Brasilândia
1988,Parque Císper,Cangaíba
1989,Jardim Vieira,Jaguara
1990,Jardim Cristal,Cidade Dutra
1991,Jardim Herplin,Parelheiros
1992,Jardim Dayse,Tremembé
1993,Jardim Ibirapuera,Jardim São Luís
1994,Jardim São Francisco de Assis,Jardim São Luís
1995,Jardim Dulce,Jardim São Luís
1996,Vila Nitro Operária,São Mateus
1997,Vila Ede,Vila Medeiros
1998,Vila Eliana,Jaraguá
1999,Sete Praias,Pedreira
2000,Vila Nova Alba,Rio Pequeno
2001,Parque Primavera,Pedreira
2002,Jardim Alpino,Cidade Dutra
2003,Vila Santa Cruz,Guaianases
2005,Vila Lourdes,Lajeado
2006,Chácara Três Caravelas,Jardim São Luís
2007,Jardim Novo Taboão,Vila Sônia
2008,Jardim Jaraguá,Itaim Paulista
2011,Jardim Souza Ramos,Cidade Tiradentes
2012,Jardim Valquiria,Capão Redondo
2014,Vila Guacuri,Pedreira
2015,Altos de Vila Prudente,Vila Prudente
2016,Jardim Mirante,Jardim São Luís
2017,Vila Taquari,Itaquera
2018,Jardim das Graças,Limão
2019,Jardim São Cristóvão,São Mateus
2020,São Miguel Paulista,São Mateus
2022,Vila Sirene,Jardim Ângela
2023,Vila Antenor,Cangaíba
2024,P. Morro Grande,Freguesia do Ó
2025,Recanto Marisa,Grajaú
2026,Jardim Lilah,Capão Redondo
2027,Vila Califórnia,Vila Prudente
2028,Jardim Antonieta,Aricanduva
2029,Vila Parque São Luís,Freguesia do Ó
2030,Jardim São Pedro,Grajaú
2032,Jardim São Raimundo,Cidade Tiradentes
2033,Chácara do Encosto,Mandaqui
2034,Freguesia do Ó,Freguesia do Ó
2035,Vila Buarque,República
2036,Paraíso do Morumbi,Vila Andrade
2038,Parque Líbano,Cangaíba
2039,Ferroviários,Cidade Tiradentes
2040,Vila Guaraciaba,Cangaíba
2041,Jardim do Russo,Perus
2042,Vila Mara,Jardim Helena
2043,Jardim Santa Marcelina,Parque do Carmo
2044,Jardim Mangalot,São Domingos
2045,Jardim Peri Alto,Cachoeirinha
2046,Vila Curuçá Velha,Vila Curuçá
2047,Jardim Leônidas Moreira,Campo Limpo
2048,Jardim Redenção,São Lucas
2049,Vila Falconi,Aricanduva
2050,Vila Inglesa,Cidade Ademar
2051,Jardim Julieta,Rio Pequeno
2052,Vila Aparecida,São Miguel Paulista
2053,Parque Vera Cruz,Capão Redondo
2054,Vila Solange,Guaianases
2055,Parque Bristol,Sacomã
2056,Jardim Gilberto,Rio Pequeno
2057,Santa Cecília,Santa Cecília
2058,Jardim Teália,São Lucas
2059,Embura,Parelheiros
2060,Jardim Cibele,José Bonifácio
2061,Conjunto Residencial Jardim Canaã,Anhanguera
2062,Jardim Jordão,José Bonifácio
2063,Vila Valdemar,Itaim Paulista
2064,Parque Industrial São Lourenço,São Mateus
2065,Americanópolis,Cidade Ademar
2067,Vila Cavaton,Freguesia do Ó
2068,Jardim Maria Fernandes,Parelheiros
2069,City América,São Domingos
2070,Vila Melo,Itaim Paulista
2071,Vila Isa,Campo Grande
2072,Educandário,Raposo Tavares
2073,Jardim Independência,Sacomã
2075,Chácara Três Meninas,Jardim Helena
2076,Vila Anhanguera,Campo Grande
2077,Jardim Luiza,Raposo Tavares
2078,Vila Charlote,Barra Funda
2079,Conjunto Habitacional Teotônio Vilela,Sapopemba
2080,Jardim Senice,Vila Maria
2081,Jardim Eva,Itaim Paulista
2082,Jardim Cedro do Líbano,Santo Amaro
2083,Jardim Pirituba,Jaraguá
2084,Jardim Elian,Parque do Carmo
2085,Jardim Elizabeth,Campo Limpo
2086,Vila Dalva,Rio Pequeno
2087,Nova Piraju,Campo Belo
2088,Vila São Geraldo,Penha
2090,Jardim da Coroa,Vila Guilherme
2091,Vila Santa Teresa,Artur Alvim
2093,Jardim Verônia,Ermelino Matarazzo
2094,Jardim Maia,Jardim Helena
2095,Jardim Liderança,Itaquera
2096,Jardim Corisco,Tremembé
2097,Vila Gertrudes,Itaim Bibi
2098,Vila Amália,Cachoeirinha
2099,São Salvador,Cursino
2100,Jardim Edilene,Cidade Dutra
2101,Vila Guarani,Jabaquara
2103,Jardim Augusta,Lajeado
2104,Jardim São Ricardo,Vila Leopoldina
2105,Vila Santo Henrique,Cangaíba
2106,Cidade Auxiliadora,Capão Redondo
2107,Jardim Rio Bonito,Cidade Dutra
2108,Jardim Gianetti,Lajeado
2109,Vila Belezas,Jardim São Luís
2110,Vila Síria,Itaquera
2111,Jardim Guannan,Vila Formosa
2112,Vila Mafra,Aricanduva
2113,Jardim Apurá,Pedreira
2114,Vila Primavera,Jardim Ângela
2116,Vila Mirante,Pirituba
2117,Jardim Borba Gato,Grajaú
2118,Jardim São Januário,Campo Limpo
2119,Jardim Margarida,Jardim Helena
2120,Vila Jurema,Itaim Paulista
2121,Vila Comercial,Pirituba
2122,Vila Romano,Sacomã
2123,Vila São Carlos,Vila Prudente
2124,Praia Leblon,Pedreira
2125,Jardim Campos,Lajeado
2127,Jardim Pedro José Nunes,Vila Jacuí
2128,Parque Santa Madalena,Jardim Ângela
2129,Vila Jacuí,Vila Jacuí
2131,Paraíso,Vila Mariana
2133,Vila Arriete,Campo Grande
2134,Jardim Alvina,Jaraguá
2135,Vila Salete,Penha
2136,Jardim Vitória,Pirituba
